Column1,match,Team,bowlerName,overs.1,overs.2,maiden,runs,wickets,economy,zeros,fours,sixes,wides,noBalls,match_id,Balls
114,U.A.E. Vs Namibia,Namibia,Bernard Scholtz,4,0,0,22,1,5.5,11,1,1,0,0,T20I # 1836,24
115,U.A.E. Vs Namibia,Namibia,JJ Smit,4,0,0,39,0,9.75,11,2,3,0,0,T20I # 1836,24
116,U.A.E. Vs Namibia,Namibia,Jan Frylinck,3,0,0,30,0,10,3,2,1,1,0,T20I # 1836,18
117,U.A.E. Vs Namibia,Namibia,Ben Shikongo,1,0,0,8,1,8,1,1,0,0,0,T20I # 1836,6
118,U.A.E. Vs Namibia,U.A.E.,Basil Hameed,3,0,0,17,2,5.66,10,2,0,0,0,T20I # 1836,18
119,U.A.E. Vs Namibia,U.A.E.,Junaid Siddique,4,0,0,35,1,8.75,8,3,1,2,0,T20I # 1836,24
120,U.A.E. Vs Namibia,U.A.E.,Zahoor Khan,4,0,0,20,2,5,15,1,0,2,2,T20I # 1836,24
121,U.A.E. Vs Namibia,U.A.E.,Ahmed Raza,1,0,0,9,0,9,1,1,0,0,0,T20I # 1836,6
122,U.A.E. Vs Namibia,U.A.E.,Karthik Meiyappan,4,0,0,34,1,8.5,8,2,2,0,0,T20I # 1836,24
123,U.A.E. Vs Namibia,U.A.E.,Aayan Afzal Khan,2,0,0,7,0,3.5,5,0,0,0,0,T20I # 1836,12
124,U.A.E. Vs Namibia,U.A.E.,Muhammad Waseem,2,0,0,16,1,8,3,0,1,0,0,T20I # 1836,12
125,West Indies Vs Ireland,Ireland,Josh Little,4,0,0,31,0,7.75,8,1,2,1,0,T20I # 1837,24
126,West Indies Vs Ireland,Ireland,Mark Adair,4,0,0,26,0,6.5,12,1,1,4,0,T20I # 1837,24
127,West Indies Vs Ireland,Ireland,Barry McCarthy,4,0,0,33,1,8.25,9,3,1,1,0,T20I # 1837,24
128,West Indies Vs Ireland,Ireland,Curtis Campher,2,0,0,28,0,14,2,4,1,0,0,T20I # 1837,12
129,West Indies Vs Ireland,Ireland,Simi Singh,2,0,0,11,1,5.5,4,1,0,0,0,T20I # 1837,12
130,West Indies Vs Ireland,Ireland,Gareth Delany,4,0,0,16,3,4,12,1,0,1,0,T20I # 1837,24
131,West Indies Vs Ireland,West Indies,Obed McCoy,3,3,0,27,0,7.71,11,2,2,0,0,T20I # 1837,21
132,West Indies Vs Ireland,West Indies,Akeal Hosein,4,0,0,38,1,9.5,5,2,2,0,0,T20I # 1837,24
133,West Indies Vs Ireland,West Indies,Alzarri Joseph,4,0,0,39,0,9.75,9,3,2,1,0,T20I # 1837,24
134,West Indies Vs Ireland,West Indies,Odean Smith,2,0,0,23,0,11.5,4,3,1,0,1,T20I # 1837,12
135,West Indies Vs Ireland,West Indies,Jason Holder,4,0,0,23,0,5.75,7,1,0,0,0,T20I # 1837,24
136,Scotland Vs Zimbabwe,Zimbabwe,Tendai Chatara,4,0,1,14,2,3.5,14,1,0,0,0,T20I # 1838,24
137,Scotland Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,0,0,28,2,7,12,4,0,1,1,T20I # 1838,24
138,Scotland Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,0,34,1,8.5,9,5,0,0,2,T20I # 1838,24
139,Scotland Vs Zimbabwe,Zimbabwe,Sean Williams,3,0,0,19,0,6.33,4,1,0,0,0,T20I # 1838,18
140,Scotland Vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,0,20,1,5,10,0,0,2,0,T20I # 1838,24
141,Scotland Vs Zimbabwe,Zimbabwe,Wessly Madhevere,1,0,0,7,0,7,1,0,0,0,0,T20I # 1838,6
142,Scotland Vs Zimbabwe,Scotland,Brad Wheal,4,0,0,26,1,6.5,12,4,0,0,0,T20I # 1838,24
143,Scotland Vs Zimbabwe,Scotland,Josh Davey,3,0,0,16,2,5.33,8,1,0,0,1,T20I # 1838,18
144,Scotland Vs Zimbabwe,Scotland,Safyaan Sharif,2,3,0,23,0,9.2,4,3,0,0,1,T20I # 1838,15
145,Scotland Vs Zimbabwe,Scotland,Mark Watt,4,0,0,19,1,4.75,9,1,0,0,0,T20I # 1838,24
146,Scotland Vs Zimbabwe,Scotland,Michael Leask,4,0,0,36,1,9,4,2,1,0,0,T20I # 1838,24
147,Scotland Vs Zimbabwe,Scotland,Calum MacLeod,1,0,0,11,0,11,0,0,1,0,0,T20I # 1838,6
148,New Zealand Vs Australia,Australia,Mitchell Starc,4,0,0,36,0,9,5,3,1,0,0,T20I # 1839,24
149,New Zealand Vs Australia,Australia,Josh Hazlewood,4,0,0,41,2,10.25,8,5,1,1,0,T20I # 1839,24
150,New Zealand Vs Australia,Australia,Pat Cummins,4,0,0,46,0,11.5,8,4,2,2,0,T20I # 1839,24
151,New Zealand Vs Australia,Australia,Marcus Stoinis,4,0,0,38,0,9.5,3,1,2,1,0,T20I # 1839,24
152,New Zealand Vs Australia,Australia,Adam Zampa,4,0,0,39,1,9.75,4,2,2,1,0,T20I # 1839,24
153,New Zealand Vs Australia,New Zealand,Trent Boult,4,0,0,24,2,6,13,2,1,1,0,T20I # 1839,24
154,New Zealand Vs Australia,New Zealand,Tim Southee,2,1,0,6,3,2.76,10,1,0,0,0,T20I # 1839,13
155,New Zealand Vs Australia,New Zealand,Mitchell Santner,4,0,0,31,3,7.75,10,2,2,0,0,T20I # 1839,24
156,New Zealand Vs Australia,New Zealand,Lockie Ferguson,3,0,0,20,1,6.66,9,2,1,0,0,T20I # 1839,18
